FeatureCode,DateCode,Measurement,Units,Value,DCLG Planning Decisions Major and Minor Developmets by Development Type
E06000021,Year ending 2013-09-30,Decisions,,86,Dwellings
E07000198,Year ending 2013-09-30,Decisions,,8,General industry storage warehousing
E07000193,Year ending 2022-09-30,Decisions,,113,Dwellings
E07000197,Year ending 2013-09-30,Decisions,,7,General industry storage warehousing
E07000196,Year ending 2022-09-30,Decisions,,115,Dwellings
E06000051,Year ending 2013-09-30,Decisions,,12,General industry storage warehousing
E07000195,Year ending 2013-09-30,Decisions,,11,General industry storage warehousing
E09000021,Year ending 2022-09-30,Decisions,,197,Dwellings
E09000027,Year ending 2013-09-30,Decisions,,6,General industry storage warehousing
E07000207,Year ending 2022-09-30,Decisions,,252,Dwellings
E07000209,Year ending 2013-09-30,Decisions,,4,General industry storage warehousing
E07000210,Year ending 2013-09-30,Decisions,,3,General industry storage warehousing
E07000213,Year ending 2022-09-30,Decisions,,102,Dwellings
E07000212,Year ending 2013-09-30,Decisions,,1,General industry storage warehousing
E07000217,Year ending 2022-09-30,Decisions,,65,Dwellings
E07000208,Year ending 2013-09-30,Decisions,,2,General industry storage warehousing
E09000029,Year ending 2013-09-30,Decisions,,3,General industry storage warehousing
E07000211,Year ending 2022-09-30,Decisions,,202,Dwellings
E09000024,Year ending 2013-09-30,Decisions,,1,General industry storage warehousing
E07000129,Year ending 2022-09-30,Decisions,,76,Dwellings
E07000132,Year ending 2013-09-30,Decisions,,3,General industry storage warehousing
E07000220,Year ending 2013-09-30,Decisions,,3,General industry storage warehousing
E07000130,Year ending 2022-09-30,Decisions,,95,Dwellings
E07000134,Year ending 2013-09-30,Decisions,,7,General industry storage warehousing
E07000176,Year ending 2022-09-30,Decisions,,184,Dwellings
E07000133,Year ending 2013-09-30,Decisions,,15,General industry storage warehousing
E07000131,Year ending 2013-09-30,Decisions,,7,General industry storage warehousing
E06000017,Year ending 2013-09-30,Decisions,,3,General industry storage warehousing
E07000152,Year ending 2013-09-30,Decisions,,0,General industry storage warehousing
E07000153,Year ending 2021-12-31,Decisions,,0,Gypsy and traveller pitches
E07000150,Year ending 2013-09-30,Decisions,,1,Gypsy and traveller pitches
E07000151,Year ending 2021-12-31,Decisions,,2,General industry storage warehousing
E07000135,Year ending 2022-09-30,Decisions,,17,Dwellings
E07000039,Year ending 2013-09-30,Decisions,,6,General industry storage warehousing
E09000005,Year ending 2022-09-30,Decisions,,229,Dwellings
E09000009,Year ending 2013-09-30,Decisions,,11,General industry storage warehousing
E09000015,Year ending 2022-09-30,Decisions,,213,Dwellings
E09000017,Year ending 2013-09-30,Decisions,,9,General industry storage warehousing
E07000102,Year ending 2022-09-30,Decisions,,70,Dwellings
E07000098,Year ending 2013-09-30,Decisions,,2,General industry storage warehousing
E09000003,Year ending 2022-09-30,Decisions,,428,Dwellings
E06000022,Year ending 2013-09-30,Decisions,,6,General industry storage warehousing
E06000054,Year ending 2013-09-30,Decisions,,24,General industry storage warehousing
E06000025,Year ending 2013-09-30,Decisions,,13,General industry storage warehousing
E07000187,Year ending 2013-09-30,Decisions,,11,General industry storage warehousing
E07000188,Year ending 2022-09-30,Decisions,,208,Dwellings
E07000052,Year ending 2013-09-30,Decisions,,4,Offices research and development / light industry
E07000050,Year ending 2019-12-31,Decisions,,58,Dwellings
E09000019,Year ending 2013-09-30,Decisions,,7,General industry storage warehousing
E09000007,Year ending 2022-09-30,Decisions,,493,Dwellings
E09000012,Year ending 2013-09-30,Decisions,,2,General industry storage warehousing
E09000014,Year ending 2022-09-30,Decisions,,117,Dwellings
E09000010,Year ending 2013-09-30,Decisions,,8,General industry storage warehousing
E09000031,Year ending 2022-09-30,Decisions,,244,Dwellings
E09000025,Year ending 2013-09-30,Decisions,,4,General industry storage warehousing
E06000057,Year ending 2018-12-31,Decisions,,5,General industry storage warehousing
E07000028,Year ending 2013-09-30,Decisions,,2,General industry storage warehousing
E07000241,Year ending 2013-09-30,Decisions,,2,General industry storage warehousing
E06000056,Year ending 2013-09-30,Decisions,,25,General industry storage warehousing
E07000242,Year ending 2018-12-31,Decisions,,5,General industry storage warehousing
E08000025,Year ending 2022-09-30,Decisions,,236,Dwellings
E08000029,Year ending 2013-09-30,Decisions,,7,General industry storage warehousing
E08000028,Year ending 2013-09-30,Decisions,,227,Other Major and Minor Developments
E08000030,Year ending 2022-09-30,Decisions,,93,Dwellings
E07000218,Year ending 2013-09-30,Decisions,,9,General industry storage warehousing
E07000221,Year ending 2022-09-30,Decisions,,222,Dwellings
E07000238,Year ending 2013-09-30,Decisions,,16,General industry storage warehousing
E08000027,Year ending 2022-09-30,Decisions,,127,Dwellings
E07000194,Year ending 2013-09-30,Decisions,,1,General industry storage warehousing
E07000199,Year ending 2022-09-30,Decisions,,23,Dwellings
E07000236,Year ending 2013-09-30,Decisions,,9,General industry storage warehousing
E07000222,Year ending 2022-09-30,Decisions,,136,Dwellings
E06000008,Year ending 2013-09-30,Decisions,,7,General industry storage warehousing
E07000125,Year ending 2013-09-30,Decisions,,4,General industry storage warehousing
E07000124,Year ending 2022-09-30,Decisions,,91,Dwellings
E07000117,Year ending 2013-09-30,Decisions,,9,General industry storage warehousing
E07000122,Year ending 2022-09-30,Decisions,,91,Dwellings
E07000163,Year ending 2013-09-30,Decisions,,6,General industry storage warehousing
E07000118,Year ending 2022-09-30,Decisions,,98,Dwellings
E07000126,Year ending 2013-09-30,Decisions,,12,General industry storage warehousing
E08000032,Year ending 2022-09-30,Decisions,,350,Dwellings
E08000035,Year ending 2013-09-30,Decisions,,41,General industry storage warehousing
E08000034,Year ending 2022-09-30,Decisions,,320,Dwellings
E08000033,Year ending 2013-09-30,Decisions,,11,General industry storage warehousing
E07000091,Year ending 2014-03-31,Decisions,,27,Retail distribution servicing
E07000048,Year ending 2019-12-31,Decisions,,1,General industry storage warehousing
E08000002,Year ending 2013-09-30,Decisions,,13,Retail distribution servicing
E08000001,Year ending 2022-09-30,Decisions,,96,Dwellings
E08000006,Year ending 2013-09-30,Decisions,,7,General industry storage warehousing
E08000005,Year ending 2022-09-30,Decisions,,87,Dwellings
E06000043,Year ending 2013-09-30,Decisions,,10,General industry storage warehousing
E07000228,Year ending 2013-09-30,Decisions,,1,General industry storage warehousing
E07000063,Year ending 2022-09-30,Decisions,,95,Dwellings
E07000229,Year ending 2013-09-30,Decisions,,2,General industry storage warehousing
E07000227,Year ending 2013-09-30,Decisions,,5,General industry storage warehousing
E07000224,Year ending 2022-09-30,Decisions,,154,Dwellings
E07000223,Year ending 2013-09-30,Decisions,,2,General industry storage warehousing
