ID,FeatureCode,DateCode,Measurement,Units,Value,DCLG Planning Decisions Major and Minor Developments by category.
00001,E06000021,Year ending 2020-09-30,Decisions,,175,All-->Minor
00002,E06000021,Year ending 2016-09-30,Decisions,,63,All-->Major
00003,E06000021,Year ending 2016-06-30,Decisions,,66,Major-->Granted
00004,E06000021,Year ending 2018-06-30,Decisions,,205,Minor-->Granted
00005,E06000021,Year ending 2016-12-31,Decisions,,284,All-->Minor
00006,E06000021,Year ending 2017-12-31,Decisions,,53,All-->Major
00007,E06000021,Year ending 2013-12-31,Decisions,,257,Minor-->Granted
00008,E06000021,Year ending 2017-12-31,Decisions,,51,Major-->Granted
00009,E06000021,Year ending 2018-03-31,Decisions,,202,Minor-->Granted
00010,E06000021,Year ending 2016-12-31,Decisions,,257,Minor-->Granted
00011,E06000021,Year ending 2015-03-31,Decisions,,59,All-->Major
00012,E06000021,Year ending 2019-03-31,Decisions,,52,All-->Major
00013,E06000021,Year ending 2021-09-30,Decisions,,40,All-->Major
00014,E06000021,Year ending 2018-12-31,Decisions,,49,All-->Major
00015,E06000021,Year ending 2018-12-31,Decisions,,206,Minor-->Granted
00016,E06000021,Year ending 2019-12-31,Decisions,,39,Major-->Granted
00017,E06000021,Year ending 2018-06-30,Decisions,,45,Major-->Granted
00018,E06000021,Year ending 2017-09-30,Decisions,,48,Major-->Granted
00019,E06000021,Year ending 2019-06-30,Decisions,,262,All-->Minor
00020,E06000021,Year ending 2017-09-30,Decisions,,257,All-->Minor
00021,E06000021,Year ending 2021-03-31,Decisions,,148,Minor-->Granted
00022,E06000021,Year ending 2014-12-31,Decisions,,69,Major-->Granted
00023,E06000021,Year ending 2020-06-30,Decisions,,178,Minor-->Granted
00024,E06000021,Year ending 2019-12-31,Decisions,,260,All-->Minor
00025,E06000021,Year ending 2018-09-30,Decisions,,52,All-->Major
00026,E06000021,Year ending 2018-09-30,Decisions,,234,All-->Minor
00027,E06000021,Year ending 2014-12-31,Decisions,,69,All-->Major
00028,E06000021,Year ending 2017-06-30,Decisions,,50,All-->Major
00029,E06000021,Year ending 2014-03-31,Decisions,,235,Minor-->Granted
00030,E06000021,Year ending 2019-06-30,Decisions,,47,All-->Major
00031,E06000021,Year ending 2022-03-31,Decisions,,202,All-->Minor
00032,E06000021,Year ending 2018-09-30,Decisions,,199,Minor-->Granted
00033,E06000021,Year ending 2020-12-31,Decisions,,38,All-->Major
00034,E06000021,Year ending 2016-09-30,Decisions,,255,Minor-->Granted
00035,E06000021,Year ending 2019-03-31,Decisions,,205,Minor-->Granted
